Id,ContactGroupId,Name,NamaFakturPajak,Address,DeliveryAddress,NPWP,Description,ContactNo,PIC,PICContactNo,Email,IsTaxable,TaxCode,ContactType,DefaultPaymentTerm,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
11,1,INDAH KIAT Pulp & Paper Tbk,INDAH KIAT Pulp & Paper Tbk,"Sinar Mas Land Plaza Menara 2 Lt. 7
Jl. MH. Thamrin No. 51
Gondangdia - Menteng
Jakarta Pusat - DKI Jakarta","Jl. Serang Raya, Km.76
Kragilan, Serang - 42184",10005668092000,,"(0254) 280088 Ext. 6111, F:280908",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:51,
12,1,INDOGRAPHICA EKAKARSA,INDOGRAPHICA EKAKARSA,"Jl. Komplek CCIE Blok A No. 10
Cileungsi - Bogor 16820","Jl. Komplek CCIE Blok A No. 10
Cileungsi - Bogor 16820",16262073436000,,"(021) 8754125, 2510054fax8754124",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:51,
13,1,INDOJAYA MULTITAMA,INDOJAYA MULTITAMA,"Jl. Nusa Indah 26, Kapuk
Jakarta Barat 11720","Jl. Nusa Indah 26, Kapuk
Jakarta Barat 11720",16010860034000,,"(021) 5679372/71, Fax 5679370, 5648312",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:51,
14,1,INDONESIA REPRO,INDONESIA REPRO,"Jl. Jelambar Kebon Pala Blok PF3/18
TPI I RT/RW. 001/007
Pejagalan","Jl. Raya Pangeran Tubagus  Angke
Komplek TPI I Blok PS-3 No. 18
Jakarta Utara",16964389041000,,(021) 66601651,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:51,
15,1,INDOPERSDA PRIMAMEDIA,INDOPERSDA PRIMAMEDIA,"Jl. Palmerah Selatan No. 3, Jakarta 10270","Jl. Palmerah Selatan No. 3, 
Jakarta 10270.",16612350022000,,(021) 5483008/5480888/5490666 ext. 7611-7612 F. 5495358,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:51,
16,1,INTER TEKNO GRAFIKA SEJATI,INTER TEKNO GRAFIKA SEJATI,"Jl. Tanah Abang II No. 113 Cideng, Gambir
Jakarta Pusat 10160","Jl. Gili Samping No. 53, Kemanggisan, Jakarta Barat",17098385028000,," 34830888, 34830753-55, fax 3853740",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:51,
17,1,INTERACT CORPINDO,INTERACT CORPINDO,"Jl. Thalib IV/8, Krukut Tamansari
Jakarta Barat","Jl. Narogong Raya Km. 7, Bojong Menteng
Bekasi 17117",13092531038000,,"(021) 8250166, fax (021) 8250167",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:52,
18,1,INTERCIPTA PLUSINDO,INTERCIPTA PLUSINDO,"Jl. Tulip No. 203 RT.017/004
Jakarta Barat","Jl. Tulip No. 203 RT.017/004
Jakarta Barat",13361241031000,,(021) 5646545,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:52,
19,1,INTERMASA,INTERMASA,"Jl. Raya Mekarsari Ragemanunggal Kp. Cipicung RT.10 RW.04, Mekarsari Kec. Cileungsi Kab. Bogor - Jawa Barat",Jl. Raya Ragemanunggal Cileungsi Bogor,10028280052000,,(021)29232736 fax : 021-29232737,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:52,
20,1,INTIPERDANA GRAFINDO,INTIPERDANA GRAFINDO,"Jl. Pangkalan II Rt. 002 Rw. 001
Cikiwul - Bantar Gebang 
Bekasi","Jl. Pangkalan II No. 57
Narogong Raya Km 12
Bekasi Barat",16025892432000,,(021) 8260 2620 fax : (021) 8260 2058,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:52,
21,1,INDONESIA PRINTER,,"Grand Slipi Tower Lt 26 
Jl. Letjen S. Parman Kav.22-24 Slipi Jakarta Barat.
DKI Jakarta Raya
T. 29022055 F. 29022056/57",,,cetak sticker,T : 6618501 F : 6618494/95,,,,True,1,SUPPLIER,0,False,2014-12-19 08:55:50,2014-12-30 11:39:54,
22,1,JAMBI PRESS INTERMEDIA,JAMBI PRESS INTERMEDIA,"Jl. Kapten Patimura 35 Km. 8, Kenali Besar
Kodya Jambi","Jl. Kapten Patimura 35 Km. 8, Kenali Besar
Kodya Jambi",16549529331000,,"Telp. 0741-65658, Fax : 0741-667338",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:52,
23,1,CATUR KREASI AKSARA,CATUR KREASI AKSARA,"Jl. Bintara Jaya Raya No. 40, Kamp. Cibening - Bintara Jaya,
Bekasi Barat 17136","Jl. Bintara Jaya Raya No. 40, Kamp. Cibening - Bintara Jaya,
Bekasi Barat 17136",13954334407000,,(021) 86901714-16 fax:8641419,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:52,
24,1,MAJU JAYA,MAJU JAYA,"Jl. Raya Sultan Agung, KM 28.5 Rt/Rw : 001/022, Bekasi Barat
Bekasi","Jl. Raya Bekasi Km. 28,5
Bekasi 17133",10006427054000,,"(021) 8840241, F : 8842269, 8840242,8840367",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:27,
25,1,KARSA WIRA UTAMA,KARSA WIRA UTAMA,"Jl. Sultan Hasanudin No.37
Kebayoran Baru, Jakarta","Jl. Pajajaran No. 10, Desa Gandasari
Kec. Jatiuwung - Tangerang 15134",13919030012000,,(021) 7205612 - Tagihan : 5918106/7,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:53,
26,1,KARTIKA NAYA,KARTIKA NAYA,Jl. Raya Bekasi Km. 26 Ujung Menteng - Cakung Jakarta Timur,"Jl. Raya Bekasi Km. 26
Jakarta 13960",10008217007000,," 4600369 - 4603321, Fax. +62 21 4602370",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:53,
27,1,PERCETAKAN KARYA GUNUNG MAS AGUNG,PERCETAKAN KARYA GUNUNG MAS AGUNG,"Gg. Semut No. 20-22 Rt.004/004,Kapuk-Cengkareng
Jakarta 11720","Gg. Semut No. 20-22 Rt.004/004, Kapuk Poglar
Jakarta Barat",13604541034000,,"(021) 6192207, 6192939, fax. 5416013",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:53,
28,1,VISINDO MEDIA PERSADA,VISINDO MEDIA PERSADA,"Jl. Pulo Kambing No.9 KIP, Jatinegara
Cakung-Jakarta Timur 13930","Jl. Pulo Kambing No.9 KIP, Jatinegara
Cakung-Jakarta Timur 13930",19522200004000,,"(021) 4619151-2,  Fax : 4612217",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:53,
29,1,KIPAS PUTIH AKSARA,KIPAS PUTIH AKSARA,"Jl. Hankam No.1 Cidodol Kebayoran Lama
Jakarta Selatan - Indonesia","Jl. Hankam No.1 Cidodol Kebayoran Lama
Jakarta Selatan - Indonesia",13472048013000,,"(021) 7256255, Fax : 7221378",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:54,
30,1,SERUNIGRAF JAYA SENTOSA,SERUNIGRAF JAYA SENTOSA,"Jl.Rungkut Industri III/19
Surabaya","Bekasi Industrial Estate Blok C10 No.9, Lippo Cikarang - Lemah Abang 
Bekasi 17550.",12110573609000,,(021) 89907720-21fax: 89907718,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:11:07,
31,1,LEMBAGA ALKITAB INDONESIA,LEMBAGA ALKITAB INDONESIA,"Jl. Raya Ciluar Km. 51
Kedunghalang, Bogor","Jl. Raya Ciluar Km. 51
Kedunghalang, Bogor",12415857404000,,(021) 8755888,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:54,
32,1,MASA KINI MANDIRI,MASA KINI MANDIRI,"Jl. Soekarno Hatta No. 108, Rajabasa - Kedaton
Bandar Lampung - 35144","Komp. Delta Kedoya, Jl. Pilar Raya, Kav. A - D (Lobby 2 - Perwakilan Lampung Post), Kedoya Selatan
Jakarta Barat
bp TB Rudi/Rahmat",12180956323000,,"(0721) 783593, Fax 783598 JKT : 021-5812088 Ext 1480",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:55,
33,1,LANCAR JAYA ABADI,LANCAR JAYA ABADI,"Jl. Gading Griya  Lestari G1/12A, Jakarta","Jl. Gading Griya  Lestari G1/12A, Jakarta",67278457033000,,(021) 4410825,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:55,
34,1,LESTARI CETA TALIWARA,LESTARI CETA TALIWARA,"Komp. Ruko Garuda, Jl. Garuda No. 31 A, Kemayoran, Jakarta Pusat 10620","Komp. Ruko Garuda, Jl. Garuda No. 31 A, Kemayoran, Jakarta Pusat 10620",17592817027000,,"(021) 4205167,4203235",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:55,
35,1,LESTARI JAYA,LESTARI JAYA,"Komp. Taman Aries  H IV/9
Meruya Ilir , Jakarta - 11620","Komp. Taman Aries  H IV/9
Meruya Ilir , Jakarta - 11620",,,"(021) 5844434 , Fax : 5844535",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:55,
36,1,LETTER MAS INDUSTRY,LETTER MAS INDUSTRY,"Jl. Mengger No.98 Cigereleng 
Bandung 40256","Jl. Mengger No.98 Cigereleng 
Bandung 40256",16450793421000,,(022) 5205077 fax: 022 5205081,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:55,
37,1,LYNDA HOTMA,LYNDA HOTMA,"Jl. Muara Karang   Blok : M IX / S  No. 30 - 33
Jakarta - 14450","Jl. Muara Karang   Blok : M IX / S  No. 30 - 33
Jakarta - 14450",,,(021) 6603534  Fax : 6612778,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:55,
38,1,MACANAN JAYA CEMERLANG,MACANAN JAYA CEMERLANG,"Jl. Kihajar Dewantoro, Klaten
Jawa Tengah","Jl. Kihajar Dewantoro, Klaten
Jawa Tengah",,,(0272) 322440,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:55,
39,1,MAHAKAM MEDIA GRAFIKA,MAHAKAM MEDIA GRAFIKA,"Jl. Indrakila Straat III No. 1, Rt. 052 Gunung Samarinda, Balikpapan Utara, Balikpapan 76125","Jl. Palmerah Selatan No. 3, 
(Gedung ex. Tabloid Bola)
Jakarta 10270.",21343017725000,,(021) 5483008  fax: 0542 735013,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:55,
40,1,MAHKOTA REKAPRATAMA COMPUTER SUPPLIES,MAHKOTA REKAPRATAMA COMPUTER SUPPLIES,"Kawasan Industry FACTO Blok D No. 1-3
Jl. Industry III Kav. AB/I Kel. Bunder Kec. Cikupa
Tangerang","Perkantoran Roxy Mas Blok D4 No. 9, Jl. K. H. Hasyim Ashari
Jakarta 10150",15286750451000,,(021) 63858218 fax 63858221,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:55,
41,1,MAJUBHAKTI PRASINDO,MAJUBHAKTI PRASINDO,"Jl. Akasia II Blok AE 18-19 Kawasan Delta Silicon
Sukaresmi - Cikarang Selatan
Kab. Bekasi","Jl. Jati  V  Blok : J IV / No.2
Kawasan Newton Techno Park, Cikarang
Bekasi",16137473431000,,"(021) 89900237-40,  Fax : 89900241",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:56,
42,1,WENANGCEMERLANG PRESS,WENANGCEMERLANG PRESS,"Jl. Babe Palar 54
Manado","Jl. Babe Palar 54
Manado",12510996821000,,"(0431) 855558, Fax (0431) 852992",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:56,
43,1,MEDAN GRAINDO,MEDAN GRAINDO,"Jl. Sisingamangaraja Km. 8,5 No. 134, Medan-Amplas.","Jl. Sisingamangaraja Km. 8,5 No. 134, Medan-Amplas",,,"(061) 7876323, Fax : (061) 7881677",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2015-04-13 19:50:54,
44,1,MEDAN MEDIA GRAFIKATAMA,MEDAN MEDIA GRAFIKATAMA,"Jl. Pelita Raya No. 46 Dusun III Kim Star, Tanjung Morawa, Deli Serdang, Medan","Jl. Pelita Raya No. 46 Kawasan Industri Medan Star Tanjung Morawa, Deli Serdang - Sumatera Utara",17583659125000,,"(061) 7946920/25, fax(061) 7946923",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:56,
45,1,MEGA INDAH,MEGA INDAH,"Jl. Kapuk Utara II No. 3, RT. 001 RW. 003, Kapuk Muara, Penjaringan, Jakarta Utara 14460","Jl. Kapuk Utara II No. 3, RT. 001 RW. 003, Kapuk Muara,
Penjaringan, Jakarta Utara 14460",22286405047000,,"+62 21 5414718, fax +62 21 6192146",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:57,
46,1,MEGA PUTRA,MEGA PUTRA,Jl. Raya Pondok Jagung Timur No.35 Tangerang,"Jl. Raya Serpong Km.7 Komplek Multiguna Blok B2 No.1
Pakualam - Serpong",22893184411000,,(021) 53122560 / F 53122559,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:57,
47,1,MERDI MANDIRI,MERDI MANDIRI,"JL. Kayu Putih Tengah No. 5
Jakarta Timur","Jl. Kayu Putih Tengah No. 5
Jakarta Timur",15453004003000,,"(021) 4701818, fax 4713303",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:57,
48,1,MERPATI PRINTING,MERPATI PRINTING,"Jl. Lontar No. 20 ,
Tanah Abang
Jakarta","Jl. Lontar No. 20 ,
Tanah Abang
Jakarta",,,(021) 31900371,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:57,
49,1,METRO POS,METRO POS,"Jl. Pulo Gadung Kav.II G/1
Jatinegara Cakung Jaktim","Jl. Pulo Gadung Kav.II G/1
Jatinegara Cakung Jaktim",10028785004000,,"(021) 4602952, 4604165",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:57,
50,1,TRIPUTRA MITRA GLOBALINDO,TRIPUTRA MITRA GLOBALINDO,"Jl.P. Tubagus Angke No 143 A
RT 014 RW 005
Angke Tambora
Jakarta Barat","Jl. Tubagus Angke No. 143 A, Tambora
Jakarta Barat 11330",18711465033000,,"(021) 6680433, fax (021) 66694240",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:27,
51,1,MITRA AKSARA KALOKA,MITRA AKSARA KALOKA,"Jl. Daan Mogot Km 19 No. 397
Tangerang - Indonesia","Jl. Daan Mogot Km 19 No. 397
Tangerang - Indonesia",17659095048000,,"(021) 5458720,5458721 fax: 021 5446035",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:57,
52,1,MITRA NIAGA MANDIRI,MITRA NIAGA MANDIRI,"Jl. Rawa Gelam II No.1, Kav II M 12 KIP, Rawa Terate - Cakung, Jakarta Timur 13920","Jl. Rawa Gelam II No.1, Kav.II M 12 KIP, Rawa Terate - Cakung, Jakarta Timur 13920",19520626007000,,"(021) 4603988, 4615288",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:57,
53,1,MITRA SURYA ERATAMA PACKAGING,MITRA SURYA ERATAMA PACKAGING,"Jl. Manis II No. 45
Manis Jaya  - TANGERANG","Jl. Manis II, No. 45, Kawasan Industri Manis
Desa Manis Jaya, Bitung
Tangerang
Phone (021) 55655888",20064309415000,,(021) 55655888 fax. 021 5918731,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:58,
54,1,MODERNPACK JAYA LESTARI,MODERNPACK JAYA LESTARI,"Jl. Peta Barat Prapatan Rawa Lele No.56
Jakarta Barat 11840","Jl. Peta Barat Prapatan Rawa Lele No.56
Jakarta Barat 11840",13539937085000,,(021) 5416778 fax:5416781,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:58,
55,1,MULTI MAKMUR INDAH INDUSTRI (MMII),MULTI MAKMUR INDAH INDUSTRI,"Jl. Raya Serang Km. 53 Keroncong Jatiuwung
Tangerang 15134",Jl. Raya Serang Km. 52 Kel.Keroncong Kec.Jatiuwung Tangerang 15134,13000104415000,,"(021) 5900152, fax (021) 5903271",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2015-01-17 11:09:52,
56,1,MULTI SUKSES SURYA SEJAHTERA,MULTI SUKSES SURYA SEJAHTERA,"Jl. Landak Baru No. 106
Makasar 90220","Jl. Landak Baru No. 106
Makasar 90220",19715556805000,,"(0411)  850336, fax (0411) 5061158",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:59,
57,1,BUKIT MURIA JAYA (BMJ),BUKIT MURIA JAYA,Jl. Sepoor Ds. Purwadana Teluk Jambe Karawang,Jl. Kerawang Spoor Ds.Purwadana Kec.Teluk Jambe - Kerawang,12454930431000,BMJ,(0267) 601030 fax (0267) 601228 / 601968,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2015-03-22 21:03:27,
58,1,CAHAYA HARAPAN SATYA PRINTING,CAHAYA HARAPAN SATYA PRINTING,"Jl. Kemurnian V No. 37
Glodok, Tamansari
Jakarta Barat 11120","Jl. Kapuk Utara II No.9, Jakarta Utara",13058284038000,,"(021) 6340509, 6195428-30 fax 6333540",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:45,
59,1,CAHAYA SAM PERINDASA,CAHAYA SAM PERINDASA,"Jl. Karang Bolong Raya No. 3, Ancol Barat, Jakarta 14430","Jl. Jababeka X Blok F No. 6
Kawasan Jababeka I - Cikarang",13000484046000,,"(021) 6900748, Fax 6909387, F,ci 89831804",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:45,
60,1,CHIKA PUTRI CEMERLANG,CHIKA PUTRI CEMERLANG,"Taman Pegangsaan Indah Blok G1/27-28, Jakarta Utara","Taman Pegangsaan Indah Blok G1/27-28, Jakarta Utara",16733586043000,,(021) 46106888,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:45,
61,1,ABADI AKSARA,ABADI AKSARA,"JL. Raya Bekasi Km 21, Cakung
Jakarta Utara","JL. Raya Bekasi Km 21, Cakung
Jakarta Utara",13669544004000,,(021) 3858292 Fax:(021) 8710566,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:40,
62,1,ACEH MEDIA GRAFIKA,ACEH MEDIA GRAFIKA,"Jl. Banda Aceh - Medan KM 4,5 Meunasah Manyang 
Aceh Besar - Banda Aceh","Jl. Palmerah Selatan No. 3, 
(Gedung ex. Tabloid Bola)
Jakarta 10270.",14525984101000,,(021) 5483008 fax:0651 637367,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:41,
63,1,ALMICOS PRATAMA,ALMICOS PRATAMA,"Jl. Rungkut IndustriI III No. 33
Rungkut menanggal - Gunung anyar
Surabaya","Jl. Rungkut IndustriI III No. 33
Surabaya",11089869615000,,"(031) 8439288, Fax 8434967",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:27,
64,1,ANCOL TERANG METAL PRINTING INDUSTRI,ANCOL TERANG METAL PRINTING INDUSTRI,"Jl. Ancol IX No. 7
Jakarta Utara 14430","Jl. Raya Kamal Muara No. 602
Jakarta 14470",13001128046000,,T :  5551250 / 6900186 F :  6907578,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:41,
65,1,RIAU MEDIA GRAFIKA,RIAU MEDIA GRAFIKA,"Jl. Harapan Raya / H Imam Munandar No. 383 RT.01 RW. 04 Tangkerang Selatan Kec. Bukit Raya
Kotamadya Pekanbaru","Jl. Palmerah Selatan No. 12 ( gedung ex. Tabloid Bola )
Jakarta 10270.",26154468218000,, fax 839620,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:11:05,
66,1,PARAGONATAMA JAYA,PARAGONATAMA JAYA,"Jl. Kapt. P. Tendean 12 A, Mampang Prapatan
Jakarta Selatan","Jl. Kapt. P. Tendean 12 A, Mampang Prapatan
Jakarta Selatan",13327622014000,,"Telp. 7982939, 7941934 Fax. 7990948",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:11:00,
67,1,METALINDO TERATAI PUTRA,METALINDO TERATAI PUTRA,"Gedung Artha Graha Lt. 16
Jl. Jend. Sudirman Kav. 52-53 Kebayoran Baru JakSel 12190","Jl. Raya Narogong Km 27, Klapanunggal
Cileungsi -  Bogor",16262420062000,,"Telp +62 21 8230830, Fax +62 21 5152976",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:57,
68,1,PERCETAKAN MANUNTUNG PRESS,PERCETAKAN MANUNTUNG PRESS,"Jl. Soekarno Hatta Km. 3.5
Gunung Samarinda
Balikpapan - 76125","Jl. Soekarno Hatta Km. 3.5
Gunung Samarinda
Balikpapan - 76125",15600471721000,,"+62 542 735359, Fax +62 542 748332",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:56,
69,1,FELLIX RAOZEN,FELLIX RAOZEN,"Jl. Astanaanyar No. 176 / 22 A
Bandung","Jl. Satria Raya III No. 5
Komplek Industri Satria Raya
Bandung",40065203422000,,+62 22 5407375   Fax +62 22 540 9692,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:11:12,
70,1,MAJUPRINTINDO MITRASEJATI,MAJUPRINTINDO MITRASEJATI,"Kaw. Industri Pabuaran Tumpeng, Tangerang","Jl. Moh. Toha Km. 2
Kawasan Industri Benua Indah Kav. 12B - Tangerang",16797722402000,,fax: 021 5517522,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:56,
71,1,ANEKA PASTI RAYA,ANEKA PASTI RAYA,"Jl. Batu Tulis XIII No.15
Jakarta Pusat","Jl. Batu Tulis XIII No.15
Jakarta Pusat",13912910025000,,(021) 3848064,,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:41,
72,1,ANTAR SURYA JAYA,ANTAR SURYA JAYA,"Jl. Rungkut Industri III / 68 - 70
Surabaya","Jl. Rungkut Industri III / 68 - 70
Surabaya",12320644631000,,"(031) 8419000, Fax (031) 8433949/8433951",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:41,
73,1,APECMAS NUSANTARA,APECMAS NUSANTARA,"Komp. Kota Grogol Permai, Blok B No. 12A, 14, 15, Jakarta Barat 11460","Komp. Kota Grogol Permai, Blok B No. 12A, 14, 15
Jl. Latumenten 18, Jakarta Barat",13561717036000,,"(021) 5600718/5600672, Fax : 5600670",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:42,
74,1,RIDWAN REDDY,RIDWAN REDDY,"Jl. Terusan Bandengan Utara No. 16 Blok B9
Jakarta 14450","Jl. Terusan Bandengan Utara No. 16 Blok B9
Jakarta 14450",65300709041000,,"(021) 6621267 , Fax 6621269",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:51,2014-12-22 12:10:42,
